Id,No,Major,Course,Score,Credit
208,283,1,56,69.0,3.5
209,182,0,50,80.0,4.0
210,99,0,43,84.0,3.0
211,202,0,36,70.0,4.0
212,258,1,26,92.0,1.0
213,372,2,22,81.0,2.0
214,252,0,8,73.0,6.0
215,198,0,9,73.0,4.5
216,486,2,194,86.0,2.0
217,361,2,9,68.0,4.5
218,78,0,43,62.0,3.0
219,165,0,40,82.0,1.0
220,100,0,105,89.0,3.0
221,385,2,5,88.0,3.0
222,10,0,109,74.0,3
223,44,0,55,80.0,2.0
224,56,0,11,90.0,1.0
225,383,2,5,90.0,3.0
226,426,2,77,95.0,4.0
227,46,0,34,0.0,2.5
228,277,1,7,84.0,6.0
229,123,0,1,60.0,4.0
230,303,1,42,96.0,1.0
231,424,2,22,81.0,2.0
232,170,0,27,97.0,2.0
233,347,2,17,65.0,4.0
234,102,0,11,94.0,1.0
235,420,2,8,89.0,6.0
236,92,0,119,66.0,3.0
237,156,0,12,89.0,1.0
238,35,0,110,68.0,3.5
239,307,1,167,74.0,0.5
240,194,0,56,68.0,3.5
241,425,2,16,78.0,4.5
242,182,0,6,80.0,4.0
243,342,1,51,71.0,2.0
244,74,0,10,76.0,2.0
245,331,1,113,88.0,2.5
246,94,0,6,67.0,4.0
247,475,2,190,84.0,3.0
248,426,2,51,93.0,2.0
249,198,0,56,75.0,3.5
250,449,2,43,74.0,3.0
251,48,0,119,66.0,3.0
252,62,0,32,89.0,8.0
253,305,1,49,90.0,1.0
254,266,1,105,90.0,3.0
255,326,1,25,97.0,3.0
256,170,0,7,92.0,6.0
257,305,1,8,73.0,6.0
258,280,1,8,81.0,6.0
259,367,2,2,84.0,1.0
260,102,0,125,83.0,1.0
261,395,2,52,89.0,1.0
262,382,2,55,80.0,2.0
263,62,0,20,67.0,4.0
264,61,0,44,62.0,2.5
265,197,0,45,30.0,3.0
266,299,1,40,92.0,1.0
267,349,2,52,77.0,1.0
268,278,1,50,71.0,4.0
269,439,2,15,80.0,3.5
270,338,1,3,75.0,2.0
271,481,2,59,95.0,1.0
272,484,2,190,87.0,3.0
273,315,1,163,60.0,3.5
274,312,1,1,46.0,4.0
275,115,0,6,72.0,4.0
276,473,2,39,77.0,1.0
277,448,2,17,78.0,4.0
278,408,2,15,60.0,3.5
279,224,0,16,75.0,4.5
280,336,1,21,78.0,1.0
281,450,2,19,91.0,3.0
282,1,0,51,83.0,2.0
283,276,1,165,74.0,3.0
284,77,0,34,88.0,2.5
285,207,0,55,86.0,2.0
286,354,2,2,83.0,1.0
287,80,0,42,70.0,1.0
288,424,2,59,83.0,1.0
289,91,0,3,72.0,2.0
290,211,0,46,88.0,2.0
291,321,1,28,70.0,1.0
292,398,2,22,84.0,2.0
293,100,0,1,48.0,4.0
294,249,0,43,75.0,3.0
295,161,0,45,76.0,3.0
296,371,2,21,86.0,1.0
297,301,1,51,81.0,2.0
298,283,1,13,75.0,2.0
299,211,0,119,65.0,3.0
300,333,1,35,91.0,4.0
301,165,0,24,68.0,1.0
302,443,2,42,88.0,1.0
303,15,0,40,95.0,1.0
304,311,1,36,77.0,4.0
305,270,1,37,88.0,2.0
306,268,1,9,63.0,4.5
307,492,2,48,94.0,6.0
308,247,0,57,74.0,3.0
309,217,0,105,90.0,3.0
310,188,0,6,77.0,4.0
311,451,2,2,75.0,1.0
312,261,1,24,100.0,1.0
313,208,0,46,85.0,2.0
314,4,0,32,88.0,8.0
315,199,0,13,75.0,2.0
316,347,2,193,81.0,1.0
317,442,2,26,75.0,1.0
318,379,2,19,79.0,3.0
319,80,0,20,43.0,4.0
320,385,2,43,85.0,3.0
321,300,1,161,75.0,2.0
322,150,0,56,56.0,3.5
323,287,1,17,70.0,4.0
324,478,2,36,90.0,4.0
325,310,1,25,94.0,3.0
326,206,0,21,80.0,1.0
327,45,0,10,67.0,2.0
328,400,2,15,38.0,3.5
329,73,0,11,90.0,1.0
330,389,2,23,87.0,2.0
331,160,0,30,87.0,1.0
332,457,2,6,70.0,4.0
333,17,0,36,81.0,4.0
334,426,2,30,87.0,1.0
335,197,0,56,64.0,3.5
336,230,0,13,68.0,2.0
337,192,0,126,81.0,2.5
338,381,2,24,92.0,1.0
339,391,2,32,87.0,8.0
340,382,2,16,79.0,4.5
341,296,1,113,80.0,2.5
342,210,0,12,89.0,1.0
343,352,2,28,95.0,1.0
344,332,1,12,83.0,1.0
345,433,2,190,88.0,3.0
346,274,1,52,85.0,1.0
347,139,0,48,60.0,6.0
348,151,0,22,83.0,2.0
349,336,1,12,87.0,1.0
350,218,0,9,45.0,4.5
351,492,2,22,82.0,2.0
352,251,0,139,80.0,1.5
353,292,1,2,92.0,1.0
354,465,2,54,90.0,2.0
355,379,2,32,72.0,8.0
356,174,0,3,76.0,2.0
357,311,1,54,85.0,2.0
358,321,1,9,65.0,4.5
359,382,2,11,81.0,1.0
360,118,0,9,62.0,4.5
361,118,0,128,83.0,2.5
362,177,0,30,62.0,1.0
363,271,1,21,90.0,1.0
364,138,0,8,84.0,6.0
365,125,0,19,72.0,3.0
366,428,2,32,92.0,8.0
367,117,0,35,78.0,4.0
368,416,2,40,83.0,1.0
369,333,1,6,79.0,4.0
370,396,2,12,84.0,1.0
371,437,2,13,68.0,2.0
372,26,0,51,73.0,2.0
373,250,0,26,80.0,1.0
374,373,2,1,83.0,4.0
375,100,0,9,60.0,4.5
376,216,0,31,95.0,1.0
377,211,0,42,74.0,1.0
378,407,2,109,90.0,3.0
379,283,1,168,79.0,2.0
380,10,0,9,89.0,4.5
381,444,2,25,83.0,3.0
382,376,2,25,95.0,3.0
383,482,2,37,77.0,2.0
384,454,2,28,83.0,1.0
385,143,0,37,66.0,2.0
386,150,0,8,75.0,6.0
387,282,1,168,84.0,2.0
388,491,2,43,86.0,3.0
389,408,2,57,83.0,3.0
390,33,0,22,81.0,2.0
391,338,1,28,69.0,1.0
392,117,0,15,50.0,3.5
393,145,0,16,77.0,4.5
394,36,0,57,84.0,3.0
395,303,1,2,82.0,1.0
396,461,2,52,80.0,1.0
397,476,2,16,80.0,4.5
398,161,0,57,72.0,3.0
399,147,0,55,84.0,2.0
400,308,1,1,66.0,4.0
401,487,2,40,77.0,1.0
402,276,1,45,69.0,3.0
403,363,2,57,60.0,3.0
404,490,2,29,96.0,3.0
405,204,0,136,90.0,1.0
406,196,0,135,85.0,1.0
407,14,0,4,75.0,2.0
408,275,1,165,91.0,3.0
409,379,2,52,76.0,1.0
410,341,1,146,67.0,3.0
411,32,0,115,82.0,1.0
412,62,0,53,63.0,3.0
413,419,2,188,86.0,3.0
414,270,1,30,79.0,1.0
415,43,0,0,72.0,3.0
416,169,0,10,70.0,2.0
417,410,2,20,85.0,4.0
418,125,0,41,32.0,1.0
419,329,1,48,82.0,6.0
420,215,0,49,96.0,1.0
421,389,2,113,89.0,2.5
422,404,2,59,85.0,1.0
423,111,0,17,64.0,4.0
424,165,0,37,63.0,2.0
425,491,2,45,79.0,3.0
426,263,1,48,73.0,6.0
427,146,0,137,90.0,2.5
428,167,0,7,86.0,6.0
429,122,0,12,82.0,1.0
430,180,0,10,76.0,2.0
431,2,0,73,82.0,0.5
432,361,2,59,92.0,1.0
433,20,0,46,94.0,2.0
434,250,0,56,42.0,3.5
435,75,0,44,90.0,2.5
436,147,0,2,93.0,1.0
437,414,2,48,98.0,6.0
438,23,0,19,64.0,3.0
439,145,0,50,84.0,4.0
440,282,1,28,76.0,1.0
441,369,2,58,85.0,2.0
442,306,1,50,66.0,4.0
443,122,0,11,87.0,1.0
444,14,0,40,84.0,1.0
445,66,0,31,95.0,1.0
446,458,2,7,80.0,6.0
447,384,2,30,73.0,1.0
448,34,0,9,60.0,4.5
449,392,2,57,67.0,3.0
450,146,0,10,75.0,2.0
451,52,0,2,60.0,1.0
452,274,1,105,91.0,3.0
453,441,2,113,82.0,2.5
454,229,0,119,66.0,3.0
455,444,2,43,84.0,3.0
456,477,2,51,68.0,2.0
457,458,2,37,84.0,2.0
458,266,1,59,91.0,1.0
459,432,2,201,79.0,2.0
460,5,0,55,78.0,2.0
461,372,2,31,100.0,1.0
462,371,2,57,70.0,3.0
463,277,1,6,72.0,4.0
464,399,2,105,86.0,3.0
465,485,2,17,72.0,4.0
466,394,2,188,82.0,3.0
467,72,0,11,95.0,1.0
468,165,0,45,60.0,3.0
469,403,2,55,85.0,2.0
470,364,2,50,76.0,4.0
471,347,2,189,84.0,3.0
472,59,0,56,63.0,3.5
473,131,0,32,94.0,8.0
474,356,2,12,81.0,1.0
475,340,1,162,83.0,3.0
476,164,0,125,76.0,1.0
477,409,2,57,72.0,3.0
478,273,1,7,66.0,6.0
479,107,0,42,84.0,1.0
480,412,2,24,89.0,1.0
481,3,0,2,87.0,1.0
482,189,0,49,90.0,1.0
483,369,2,59,83.0,1.0
484,75,0,50,79.0,4.0
485,293,1,21,85.0,1.0
486,147,0,9,77.0,4.5
487,378,2,190,73.0,3.0
488,224,0,13,64.0,2.0
489,403,2,15,46.0,3.5
490,491,2,57,67.0,3.0
491,19,0,10,80.0,2.0
492,116,0,127,74.0,3.0
493,475,2,11,90.0,1.0
494,208,0,26,85.0,1.0
495,16,0,118,73.0,3.0
496,391,2,52,74.0,1.0
497,43,0,23,79.0,2.0
498,304,1,58,89.0,2.0
499,284,1,2,90.0,1.0
500,172,0,17,73.0,4.0
501,490,2,188,79.0,3.0
502,359,2,57,74.0,3.0
503,195,0,3,72.0,2.0
504,311,1,176,89.0,2.0
505,133,0,137,85.0,2.5
506,58,0,13,80.0,2.0
507,281,1,146,81.0,3.0
508,2,0,67,85.0,6.0
509,159,0,2,83.0,1.0
510,318,1,12,76.0,1.0
511,29,0,29,79.0,3.0
512,383,2,22,79.0,2.0
513,236,0,13,76.0,2.0
514,190,0,133,90.0,2.5
515,443,2,11,93.0,1.0
516,177,0,10,49.0,2.0
517,390,2,17,56.0,4.0
518,185,0,11,80.0,1.0
519,282,1,42,68.0,1.0
520,77,0,3,61.0,2.0
521,78,0,51,82.0,2.0
522,312,1,172,81.0,2.0
523,439,2,59,88.0,1.0
524,343,1,22,75.0,2.0
525,375,2,20,67.0,4.0
526,265,1,25,95.0,3
527,58,0,36,85.0,4.0
528,168,0,40,86.0,1.0
529,209,0,31,95.0,1.0
530,447,2,195,73.0,2.0
531,256,1,2,86.0,1.0
532,223,0,136,71.0,1.0
533,396,2,17,71.0,4.0
534,86,0,20,67.0,4.0
535,239,0,134,68.0,2.5
536,16,0,9,97.0,4.5
537,76,0,28,92.0,1.0
538,246,0,1,67.0,4.0
539,394,2,58,72.0,2.0
540,57,0,54,87.6,2.0
541,199,0,7,81.0,6.0
542,77,0,40,88.0,1.0
543,311,1,42,86.0,1.0
544,35,0,54,88.0,2.0
545,433,2,12,88.0,1.0
546,68,0,5,83.0,3.0
547,333,1,166,94.0,1.0
548,37,0,31,95.0,1.0
549,136,0,42,72.0,1.0
550,97,0,127,75.0,3.0
551,72,0,41,83.0,1.0
552,295,1,48,85.0,6.0
553,101,0,52,78.0,1.0
554,23,0,13,80.0,2.0
555,383,2,46,80.0,2.0
556,45,0,20,64.0,4.0
557,273,1,163,65.0,3.5
558,445,2,58,73.0,2.0
559,233,0,46,86.0,2.0
560,466,2,32,91.0,8.0
561,444,2,28,90.0,1.0
562,200,0,11,77.0,1.0
563,70,0,28,92.0,1.0
564,362,2,17,72.0,4.0
565,408,2,25,70.0,3.0
566,111,0,45,70.0,3.0
567,401,2,57,67.0,3.0
568,368,2,22,78.0,2.0
569,341,1,6,73.0,4.0
570,346,2,190,75.0,3.0
571,321,1,157,85.0,1.0
572,450,2,48,95.0,6.0
573,246,0,37,82.0,2.0
574,180,0,52,90.0,1.0
575,368,2,20,79.0,4.0
576,54,0,20,39.0,4.0
577,215,0,17,64.0,4.0
578,443,2,31,95.0,1.0
579,221,0,9,69.0,4.5
580,228,0,48,83.0,6.0
581,460,2,16,82.0,4.5
582,34,0,56,62.0,3.5
583,248,0,49,77.0,1.0
584,21,0,43,46.0,3.0
585,20,0,29,81.0,3.0
586,163,0,29,94.0,3.0
587,72,0,59,88.0,1
588,334,1,48,79.0,6.0
589,252,0,129,81.0,2.5
590,11,0,110,60.0,3.5
591,14,0,36,85.0,4.0
592,236,0,56,65.0,3.5
593,137,0,0,89.0,3.0
594,194,0,23,69.0,2.0
595,84,0,35,61.0,4.0
596,75,0,4,82.0,2.0
597,321,1,36,84.0,4.0
598,25,0,115,80.0,1.0
599,411,2,32,81.0,8.0
600,98,0,56,82.0,3.5
601,457,2,57,67.0,3.0
602,359,2,2,73.0,1.0
603,10,0,105,86.0,3.0
604,130,0,48,79.0,6.0
605,52,0,22,72.0,2.0
606,332,1,172,70.0,2.0
607,180,0,21,82.0,1.0
608,266,1,37,84.0,2.0
609,227,0,26,90.0,1.0
610,127,0,45,64.0,3.0
611,300,1,43,76.0,3.0
612,183,0,44,84.0,2.5
613,436,2,16,77.0,4.5
614,445,2,7,83.0,6.0
615,215,0,51,72.0,2.0
616,23,0,21,80.0,1.0
617,21,0,36,88.0,4.0
618,217,0,28,60.0,1.0
619,196,0,42,62.0,1.0
620,311,1,180,78.0,2.0
621,187,0,46,85.0,2.0
622,14,0,2,74.0,1.0
623,224,0,1,49.0,4.0
624,249,0,40,90.0,1.0
625,312,1,46,81.0,2.0
626,274,1,13,71.0,2.0
627,284,1,37,60.0,2.0
628,480,2,28,95.0,1.0
629,82,0,21,80.0,1.0
630,436,2,30,90.0,1.0
631,436,2,199,90.0,0.5
632,420,2,3,78.0,2.0
633,118,0,52,82.0,1.0
634,373,2,29,86.0,3.0
635,42,0,56,60.0,3.5
636,259,1,30,66.0,1.0
637,75,0,23,84.0,2.0
638,372,2,50,80.0,4.0
639,290,1,35,84.0,4.0
640,233,0,5,63.0,3.0
641,33,0,40,80.0,1.0
642,473,2,46,84.0,2.0
643,446,2,11,87.0,1.0
644,12,0,115,89.0,1.0
645,271,1,124,85.0,0.5
646,148,0,1,76.0,4.0
647,1,0,18,84.0,2.5
648,23,0,34,89.0,2.5
649,39,0,57,90.0,3.0
650,463,2,190,89.0,3.0
651,99,0,52,85.0,1.0
652,431,2,201,81.0,2.0
653,375,2,190,88.0,3.0
654,429,2,189,98.0,3.0
655,255,1,24,93.0,1.0
656,174,0,131,82.0,2.5
657,263,1,46,90.0,2.0
658,105,0,16,82.0,4.5
659,348,2,58,67.0,2.0
660,344,2,11,88.0,1.0
661,227,0,46,88.0,2.0
662,57,0,51,61.0,2.0
663,51,0,42,63.0,1.0
664,108,0,12,77.0,1.0
665,281,1,165,87.0,3.0
666,217,0,25,96.0,3.0
667,325,1,19,62.0,3.0
668,299,1,7,82.0,6.0
669,382,2,51,83.0,2.0
670,201,0,22,68.0,2.0
671,355,2,48,87.0,6.0
672,444,2,17,72.0,4.0
673,476,2,46,90.0,2.0
674,205,0,22,80.0,2.0
675,106,0,49,90.0,1.0
676,29,0,120,90.0,1.0
677,351,2,40,90.0,1.0
678,337,1,166,85.0,1.0
679,129,0,130,83.0,2.5
680,220,0,55,79.6,2.0
681,408,2,11,75.0,1.0
682,294,1,52,90.0,1.0
683,406,2,188,92.0,3.0
684,222,0,7,87.0,6.0
685,365,2,21,80.0,1.0
686,297,1,3,80.0,2.0
687,160,0,31,95.0,1.0
688,198,0,36,78.0,4.0
689,479,2,200,81.0,3.0
690,161,0,49,80.0,1.0
691,345,2,189,94.0,3.0
692,276,1,173,94.0,1.0
693,115,0,47,79.0,3.0
694,296,1,31,85.0,1.0
695,397,2,24,98.0,1.0
696,78,0,50,75.0,4.0
697,220,0,25,67.0,3.0
698,469,2,39,84.0,1.0
699,384,2,21,86.0,1.0
700,97,0,136,80.0,1.0
701,206,0,7,85.0,6.0
702,482,2,55,68.0,2.0
703,347,2,3,83.0,2.0
704,64,0,47,40.0,3.0
705,254,1,68,75.0,3.0
706,234,0,40,80.0,1.0
707,109,0,21,82.0,1.0
708,373,2,19,98.0,3.0
709,20,0,36,77.0,4.0
710,336,1,29,63.0,3.0
711,216,0,40,92.0,1.0
712,152,0,16,88.0,4.5
713,408,2,40,84.0,1.0
714,199,0,3,71.0,2.0
715,61,0,43,82.2,3.0
716,122,0,9,60.0,4.5
717,280,1,46,95.0,2.0
718,110,0,40,88.0,1.0
719,108,0,36,76.0,4.0
720,124,0,9,76.0,4.5
721,213,0,57,41.0,3.0
722,325,1,22,84.0,2.0
723,435,2,1,45.0,4.0
724,155,0,49,82.0,1.0
725,143,0,22,67.0,2.0
726,27,0,51,66.0,2.0
727,151,0,49,87.0,1.0
728,487,2,8,65.0,6.0
729,114,0,11,80.0,1.0
730,97,0,53,80.0,3.0
731,469,2,48,95.0,6.0
732,231,0,10,68.0,2.0
733,395,2,24,100.0,1.0
734,229,0,11,60.0,1.0
735,137,0,15,0.0,3.5
736,227,0,25,75.0,3.0
737,279,1,167,84.0,0.5
738,413,2,29,83.0,3.0
739,53,0,46,92.0,2.0
740,470,2,3,78.0,2.0
741,368,2,31,95.0,1.0
742,488,2,51,86.0,2.0
743,308,1,167,73.0,0.5
744,325,1,28,85.0,1.0
745,253,1,5,63.0,3.0
746,324,1,11,91.0,1.0
747,362,2,37,91.0,2.0
748,31,0,22,73.0,2.0
749,31,0,52,88.0,1.0
750,32,0,120,90.0,1.0
751,418,2,40,85.0,1.0
752,38,0,43,67.0,3.0
753,465,2,43,75.0,3.0
754,235,0,26,85.0,1.0
755,18,0,48,81.0,6.0
756,388,2,5,82.0,3.0
757,118,0,131,82.0,2.5
758,277,1,23,89.0,2.0
759,325,1,10,75.0,2.0
760,219,0,13,81.0,2.0
761,88,0,18,89.0,2.5
762,334,1,113,90.0,2.5
763,395,2,32,80.0,8.0
764,178,0,57,46.0,3.0
765,52,0,10,76.0,2.0
766,143,0,42,80.0,1.0
767,367,2,191,88.0,3.0
768,344,2,48,94.0,6.0
769,465,2,19,82.0,3.0
770,268,1,59,80.0,1.0
771,324,1,161,82.0,2.0
772,378,2,43,69.0,3.0
773,18,0,57,91.0,3.0
774,75,0,47,80.0,3.0
775,345,2,43,63.0,3.0
776,460,2,40,91.0,1.0
777,214,0,21,86.0,1.0
778,472,2,31,90.0,1.0
779,179,0,12,89.0,1.0
780,114,0,9,76.0,4.5
781,277,1,167,85.0,0.5
782,8,0,10,85.0,2.0
783,317,1,166,93.0,1.0
784,267,1,175,86.0,1.0
785,421,2,190,88.0,3.0
786,378,2,188,65.0,3.0
787,113,0,8,69.0,6.0
788,300,1,45,73.0,3.0
789,74,0,45,74.0,3.0
790,13,0,0,78.0,3.0
791,318,1,25,88.0,3.0
792,58,0,32,78.0,8.0
793,70,0,13,76.0,2.0
794,269,1,59,80.0,1.0
795,281,1,157,88.0,1.0
796,378,2,50,75.0,4.0
797,165,0,11,84.0,1.0
798,193,0,112,0.0,3.0
799,260,1,153,77.0,3.0
800,259,1,29,87.0,3.0
801,141,0,32,88.0,8.0
802,487,2,43,80.0,3.0
803,131,0,36,80.0,4.0
804,298,1,10,65.0,2.0
805,491,2,23,84.0,2.0
806,445,2,19,91.0,3.0
807,250,0,8,81.0,6.0
808,245,0,28,90.0,1.0
809,334,1,35,87.0,4.0
810,454,2,21,73.0,1.0
811,216,0,27,96.0,2.0
812,362,2,28,88.0,1.0
813,466,2,7,83.0,6.0
814,356,2,52,86.0,1.0
815,159,0,14,71.0,3.0
816,288,1,54,91.0,2.0
817,411,2,35,77.0,4.0
818,44,0,24,91.0,1.0
819,436,2,188,75.0,3.0
820,447,2,23,67.0,2.0
821,173,0,51,85.0,2.0
822,97,0,8,70.0,6.0
823,426,2,28,75.0,1.0
824,201,0,16,78.0,4.5
825,439,2,20,63.0,4.0
826,140,0,24,53.0,1.0
827,229,0,17,66.0,4.0
828,137,0,54,85.0,2.0
829,474,2,57,84.0,3.0
830,450,2,1,78.0,4.0
831,137,0,29,97.0,3.0
832,434,2,48,96.0,6.0
833,161,0,3,79.0,2.0
834,329,1,2,93.0,1.0
835,196,0,9,81.0,4.5
836,424,2,26,84.0,1.0
837,363,2,1,77.0,4.0
838,72,0,50,78.0,4.0
839,394,2,17,65.0,4.0
840,453,2,32,93.0,8.0
841,411,2,50,80.0,4.0
842,49,0,22,86.0,2.0
843,187,0,52,63.0,1.0
844,15,0,30,82.0,1.0
845,261,1,52,80.0,1.0
846,129,0,11,88.0,1.0
847,130,0,52,83.0,1.0
848,372,2,49,91.0,1.0
849,155,0,135,86.0,1.0
850,360,2,59,83.0,1.0
851,51,0,23,80.0,2.0
852,195,0,133,78.0,2.5
853,36,0,7,85.0,6.0
854,433,2,77,84.0,4.0
855,57,0,28,78.0,1.0
856,54,0,32,88.0,8.0
857,70,0,119,77.0,3.0
858,188,0,31,90.0,1.0
859,439,2,2,82.0,1.0
860,124,0,134,84.0,2.5
861,192,0,135,84.0,1.0
862,159,0,29,94.0,3.0
863,198,0,35,62.0,4.0
864,220,0,105,81.6,3.0
865,293,1,20,85.0,4.0
866,434,2,25,93.0,3.0
867,370,2,55,75.0,2.0
868,142,0,6,71.0,4.0
869,416,2,31,100.0,1.0
870,218,0,41,61.0,1.0
871,491,2,51,76.0,2.0
872,417,2,77,81.0,4.0
